filename,problem,problem_set,implementation,optimizer,nonlinearity,update_type,scan_type,N,best_known_cut,TTS_CPU,TTS_Euler,TTS_Euler_eta_corrected,SR_tr,SR,T_a_CPU,T_a_Euler,E_min,E_min_original,best_alpha,best_beta,best_theta,best_beta1,best_beta2,best_eta,best_gamma,best_dt,best_alpha_CAC,best_a_CAC,best_delta_CAC,best_rho_CAC,best_ksi_CAC,best_Gamma_CAC,best_n_x_CAC,best_n_e_CAC,best_DT_CAC,best_value
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G1.txt,G1,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,11624,0.0471402,2.59466,177.64132117200003,1.0,1.0,0.0347936,0.658504,-4072.0,11624.0,0.238888,0.420128,0.05,-164.625,-121.801,68.7746,-1.77769,-2.35304,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.0471402
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G2.txt,G2,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,11620,0.0363666,1.21467,61.574173107,1.0,1.0,0.0299909,0.435635,-4064.0,11620.0,0.207283,0.237484,0.05,-199.909,-28.683,50.6921,-7.76521,-2.5817,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.0363666
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G3.txt,G3,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,11622,0.0379397,0.498466,55.122364144,1.0,1.0,0.0195555,0.375168,-4068.0,11622.0,0.237471,0.364245,0.05,-199.791,-9.17687,110.235,-8.66134,-2.98182,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.0379397
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G4.txt,G4,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,11646,0.069601,1.32789,138.74729392,1.0,1.0,0.0323946,0.474248,-4116.0,11646.0,-0.887521,0.821556,0.05,-199.053,-18.662,110.18,-9.95711,-2.82409,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.069601
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G5.txt,G5,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,11631,0.0563824,1.01382,98.671653612,1.0,1.0,0.0310325,0.708977,-4086.0,11631.0,-0.525913,0.411669,0.05,-199.905,-12.8723,97.2767,-2.71043,-2.84328,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.0563824
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G14.txt,G14,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,3064,0.264983,8.13884,1587.0331058000002,0.99,0.97,0.0349334,0.615906,-1428.0,3061.0,-0.829262,1.26032,0.05,-88.5838,-98.354,194.995,-2.34549,-2.75915,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.264983
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G15.txt,G15,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,3050,0.297834,6.97411,1360.66978333,0.99,0.98,0.024874,0.70219,-1439.0,3050.0,-0.449731,1.36865,0.05,-27.6369,-100.892,195.103,-0.649624,-2.87201,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.297834
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G16.txt,G16,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,3052,0.906923,60.5145,10587.1412133,0.4,0.39,0.0244516,0.534222,-1424.0,3048.0,-0.669169,1.82085,0.05,-126.169,-94.0262,141.751,-3.47063,-2.33452,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.906923
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G17.txt,G17,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,3047,0.631027,47.2675,2309.56025355,0.68,0.45,0.0194619,0.744877,-1423.0,3045.0,-1.07717,2.0061,0.05,-101.016,-113.054,113.813,-4.38593,-2.37954,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.631027
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G22.txt,G22,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,2000,13359,0.262817,19.3374,2336.2673184,1.0,1.0,0.073906,0.521847,-6720.0,13355.0,0.737355,0.462294,0.05,-64.3585,-28.7869,95.7645,-3.26329,-1.81446,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.262817
