filename,problem,problem_set,implementation,optimizer,nonlinearity,update_type,scan_type,N,best_known_cut,TTS_CPU,TTS_Euler,TTS_Euler_eta_corrected,SR_tr,SR,T_a_CPU,T_a_Euler,E_min,E_min_original,best_alpha,best_beta,best_theta,best_beta1,best_beta2,best_eta,best_gamma,best_dt,best_alpha_CAC,best_a_CAC,best_delta_CAC,best_rho_CAC,best_ksi_CAC,best_Gamma_CAC,best_n_x_CAC,best_n_e_CAC,best_DT_CAC,best_value
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G6.txt,G6,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,2178,1.13156,112.548,9153.2313768,0.99,0.88,0.042827,0.842923,-4202.0,2178.0,-1.99537,1.86576,0.05,-163.651,-31.2521,199.983,-2.5647,-1.88276,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,1.13156
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G7.txt,G7,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,2006,6.63779,50.6449,9979.7801246,0.11,0.1,0.0650752,0.655168,-4162.0,2006.0,-0.806998,0.953572,0.05,-51.4609,-15.1224,197.054,-7.13639,-2.99953,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,6.63779
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G8.txt,G8,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,2005,6.8913,54.5999,8423.126573,0.13,0.12,0.0581469,0.431832,-4180.0,2005.0,-1.99463,1.37135,0.05,-50.4941,-33.7257,154.27,-6.91449,-2.97839,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,6.8913
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G9.txt,G9,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,2054,4.56632,737.475,98430.78825,0.44,0.42,0.180273,2.23896,-4172.0,2054.0,-0.166134,1.1598,0.05,-93.8829,-31.9752,133.47,-5.4673,-1.67204,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,4.56632
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G10.txt,G10,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,2000,3.19204,24.3772,4871.661534,0.26,0.25,0.0698333,0.529595,-4160.0,2000.0,-1.9624,1.32052,0.05,-44.67,-18.5234,199.845,-3.73302,-3.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,3.19204
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G11.txt,G11,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,564,,,,0.0,0.0,,,-1086.0,560.0,,,,,,,,,,,,,,,,,,
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G12.txt,G12,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,556,2.51317,429.683,72383.10913099999,0.34,0.29,0.0772208,3.32507,-1116.0,556.0,-0.628465,1.31621,0.05,-167.857,-6.82409,168.457,-1.85708,-1.98522,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,2.51317
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G13.txt,G13,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,582,17.4109,2026.02,127092.437202,0.03,0.02,0.0379975,4.42159,-1126.0,580.0,-1.74929,1.56756,0.05,-41.6694,-67.3103,62.7301,-3.37645,-2.13618,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,17.4109
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G18.txt,G18,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,992,52.3354,6097.63,1219507.70711,0.02,0.02,0.229593,26.7501,-1914.0,989.0,-0.593145,1.61025,0.05,-199.973,-115.356,199.997,-9.99939,-2.09453,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,52.3354
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G19.txt,G19,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,906,27.9188,1241.29,248258.0,0.03,0.02,0.182213,2.709,-1919.0,903.0,-0.0917118,0.964627,0.05,-77.9162,-31.9159,134.442,-5.39677,-1.73812,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,27.9188
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G20.txt,G20,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,941,0.647136,84.4497,13447.608708000002,0.64,0.62,0.0239522,0.81288,-1928.0,941.0,0.462907,0.981693,0.05,-177.829,-3.0008,198.327,-1.15536,-2.04856,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.647136
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G21.txt,G21,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,931,3.39724,973.308,190550.347008,0.34,0.34,0.147385,38.361,-1929.0,931.0,0.431735,0.963766,0.05,-72.3485,0.526623,195.776,-5.36809,-1.70091,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,3.39724
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G27.txt,G27,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,2000,3341,57.8789,3691.64,521241.1098,0.07,0.05,0.777664,49.6011,-6714.0,3336.0,-0.641438,2.99996,0.05,-149.139,-35.8287,141.195,-9.99835,-1.87159,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,57.8789
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G28.txt,G28,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,2000,3298,495.726,40665.1,5467097.3742,0.01,0.0,1.08187,88.7475,-6668.0,3282.0,-0.0917118,0.964627,0.05,-77.9162,-31.9159,134.442,-5.39677,-1.73812,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,495.726
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G29.txt,G29,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,2000,3405,752.749,35803.7,6226370.841099999,0.01,0.01,1.6428,78.1382,-6704.0,3392.0,-1.04145,1.36433,0.05,-54.9016,-78.9563,173.903,-8.62351,-1.96915,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,752.749
