filename,problem,problem_set,implementation,optimizer,nonlinearity,update_type,scan_type,N,best_known_cut,TTS_CPU,TTS_Euler,TTS_Euler_eta_corrected,SR_tr,SR,T_a_CPU,T_a_Euler,E_min,E_min_original,best_alpha,best_beta,best_theta,best_beta1,best_beta2,best_eta,best_gamma,best_dt,best_alpha_CAC,best_a_CAC,best_delta_CAC,best_rho_CAC,best_ksi_CAC,best_Gamma_CAC,best_n_x_CAC,best_n_e_CAC,best_DT_CAC,best_value
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G1.txt,G1,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,11624,7.51588,95212.0,97081.96368000002,0.2,0.2,0.364182,4613.5,-4066.0,11621.0,0.525502,2.99997,0.05,0.996494,0.998841,1.01964,-4.58566,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,7.51588
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G2.txt,G2,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,11620,0.0572745,694.877,5201.04316468,1.0,1.0,0.00355892,43.6667,-4064.0,11620.0,0.461562,2.93264,0.05,0.782409,0.0875678,7.48484,-4.58679,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.0572745
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G3.txt,G3,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,11622,0.46961,5413.94,6116.940108999999,0.82,0.81,0.0536619,652.632,-4062.0,11619.0,1.99961,1.57925,0.05,0.970042,1.0,1.12985,-6.00585,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.46961
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G4.txt,G4,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,11646,0.146806,1830.0,5168.8533,0.97,0.97,0.00358795,45.0,-4116.0,11646.0,-0.0683111,2.99772,0.05,0.917,0.30376,2.82451,-4.3564,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.146806
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G5.txt,G5,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,11631,0.1149,1396.05,3639.865323,0.99,0.99,0.00379337,45.0,-4086.0,11631.0,1.99587,2.55625,0.05,0.954067,1.0,2.60726,-4.0064,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.1149
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G14.txt,G14,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,3064,196.244,3304610.0,660922000.0,0.01,0.01,0.428283,7212.0,-1406.0,3050.0,2.0,1.58715,0.05,0.986429,1.0,200.0,-3.94608,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,196.244
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G15.txt,G15,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,3050,0.351502,5624.62,1101739.3163599998,1.0,1.0,0.211994,3365.8,-1439.0,3050.0,1.99915,1.13598,0.05,0.569524,0.592337,195.878,-4.75422,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.351502
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G16.txt,G16,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,3052,393.399,6389290.0,6504105.541300001,0.01,0.0,0.858554,13944.0,-1402.0,3037.0,-2.0,1.59489,0.05,0.998934,0.998783,1.01797,-10.0,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,393.399
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G17.txt,G17,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,3047,108.848,1803060.0,1838472.0984000002,0.01,0.01,0.237549,3935.0,-1407.0,3037.0,0.525502,2.99997,0.05,0.996494,0.998841,1.01964,-4.58566,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,108.848
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G22.txt,G22,GsetUnweighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,2000,13359,0.518089,3142.29,627421.0443,1.0,1.0,0.517679,3115.37,-6728.0,13359.0,1.93931,0.673773,0.05,0.718573,0.62155,199.52,-9.84586,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.518089
