filename,problem,problem_set,implementation,optimizer,nonlinearity,update_type,scan_type,N,best_known_cut,TTS_CPU,TTS_Euler,TTS_Euler_eta_corrected,SR_tr,SR,T_a_CPU,T_a_Euler,E_min,E_min_original,best_alpha,best_beta,best_theta,best_beta1,best_beta2,best_eta,best_gamma,best_dt,best_alpha_CAC,best_a_CAC,best_delta_CAC,best_rho_CAC,best_ksi_CAC,best_Gamma_CAC,best_n_x_CAC,best_n_e_CAC,best_DT_CAC,best_value
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G6.txt,G6,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,2178,0.474081,3727.68,189779.88243199998,1.0,1.0,0.0471933,371.947,-4202.0,2178.0,1.99921,2.97735,0.05,0.410371,0.580973,54.792,-9.97883,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,0.474081
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G7.txt,G7,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,2006,22.113,165239.0,32990131.589,0.25,0.25,0.986243,7777.0,-4162.0,2006.0,1.99679,2.32315,0.05,0.824305,0.571471,199.651,-6.55005,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,22.113
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G8.txt,G8,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,2005,3.96342,28525.6,5699044.0472,0.75,0.61,0.641802,4626.42,-4180.0,2005.0,1.99355,1.03867,0.05,0.573546,0.620399,199.787,-10.0,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,3.96342
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G9.txt,G9,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,2054,1.97804,14429.4,2884090.7544,0.97,0.79,0.712568,5150.0,-4172.0,2054.0,1.93513,1.06276,0.05,0.491264,0.549079,199.876,-9.9988,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,1.97804
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G10.txt,G10,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,2000,53.9963,407871.0,81574200.0,0.11,0.11,1.36638,10321.2,-4152.0,1996.0,2.0,1.58715,0.05,0.986429,1.0,200.0,-3.94608,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,53.9963
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G11.txt,G11,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,564,31.9841,476511.0,95302200.0,0.08,0.08,0.579107,8627.75,-1090.0,562.0,-0.432502,3.0,0.05,0.983952,1.0,200.0,-9.99837,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,31.9841
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G12.txt,G12,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,556,20.0705,295868.0,59173600.0,0.1,0.09,0.459189,6769.1,-1116.0,556.0,-0.432502,3.0,0.05,0.983952,1.0,200.0,-9.99837,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,20.0705
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G13.txt,G13,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,582,36.1846,515205.0,102991540.32,0.11,0.02,0.476327,7012.5,-1130.0,582.0,0.647302,2.99726,0.05,0.632271,0.97411,199.904,-9.99828,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,36.1846
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G18.txt,G18,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,992,,,,0.0,0.0,,,-1908.0,986.0,,,,,,,,,,,,,,,,,,
BayesianOptimization_Algorithmic_FirstOrderAdam_Sigmoid_Sequential_CACdisabled_G19.txt,G19,GsetWeighted,Algorithmic,FirstOrderAdam,Sigmoid,Sequential,BayesianOptimization,800,906,1.908,27437.7,5483396.9073,0.78,0.58,0.393184,5621.75,-1925.0,906.0,1.27404,2.9988,0.05,0.602738,0.59368,199.849,-9.89436,0.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,1.908
