filename,problem,problem_set,implementation,optimizer,nonlinearity,update_type,scan_type,N,best_known_cut,TTS_CPU,TTS_Euler,TTS_Euler_eta_corrected,SR_tr,SR,T_a_CPU,T_a_Euler,E_min,E_min_original,best_alpha,best_beta,best_theta,best_beta1,best_beta2,best_eta,best_gamma,best_dt,best_alpha_CAC,best_a_CAC,best_delta_CAC,best_rho_CAC,best_ksi_CAC,best_Gamma_CAC,best_n_x_CAC,best_n_e_CAC,best_DT_CAC,best_value
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G1.txt,G1,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,11624,0.0666792,7.40862,67.7861,1.0,1.0,0.0228717,2.59,-4072.0,11624.0,0.99977,0.187515,0.05,-126.868,-25.519,35.6019,-9.89266,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,7.40862
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G2.txt,G2,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,11620,0.0416869,4.65982,14.5751,1.0,1.0,0.0267757,3.04,-4064.0,11620.0,0.0624016,0.341205,0.05,-116.717,-9.47487,29.7756,-6.9114,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,4.65982
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G3.txt,G3,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,11622,0.0324579,3.5144,5.6404,1.0,1.0,0.0124948,1.36,-4068.0,11622.0,-0.99262,0.536585,0.05,-50.0423,-0.495929,11.0824,-9.79871,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,3.5144
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G4.txt,G4,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,11646,0.0375783,3.9199,29.177856147,1.0,1.0,0.0254098,2.64,-4116.0,11646.0,-0.00394433,0.285116,0.05,-126.16,-6.92254,22.7861,-9.94872,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,3.9199
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G5.txt,G5,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,11631,0.0505948,5.06555,131.70575394000002,1.0,1.0,0.0206321,2.305,-4086.0,11631.0,-0.121409,0.365626,0.05,-123.454,-7.05578,27.9114,-10.0,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,5.06555
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G14.txt,G14,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,3064,0.178031,25.8378,1328.36522226,1.0,1.0,0.0203304,3.095,-1432.0,3063.0,-0.999884,1.28164,0.05,-80.9061,-41.2351,51.4117,-9.99861,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,25.8378
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G15.txt,G15,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,3050,0.139978,21.9409,915.3743479999999,1.0,0.985,0.0123873,1.81,-1439.0,3050.0,0.108042,0.689428,0.05,-44.0096,-21.1125,41.72,-5.75872,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,21.9409
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G16.txt,G16,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,3052,0.316195,49.2664,2055.3942079999997,0.9325,0.88,0.0261883,3.58,-1430.0,3051.0,0.108042,0.689428,0.05,-44.0096,-21.1125,41.72,-5.75872,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,49.2664
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G17.txt,G17,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,3047,0.950423,148.18,8865.75032,0.775,0.59,0.0321799,5.04,-1427.0,3047.0,-0.412416,1.0,0.05,-116.462,-9.24594,114.678,-0.322829,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,148.18
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G22.txt,G22,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,2000,13359,0.612962,33.2636,972.294,1.0,1.0,0.052831,2.88,-6726.0,13358.0,1.0,0.662185,0.05,-141.011,-32.2995,101.485,-7.14967,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,33.2636
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G23.txt,G23,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,2000,13344,0.276833,15.6165,1111.1372219,1.0,1.0,0.0686521,3.76,-6694.0,13342.0,0.404327,0.695598,0.05,-135.28,-8.07602,71.2907,-8.01883,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,15.6165
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G24.txt,G24,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,2000,13337,0.107291,5.4527,140.06935911,1.0,1.0,0.0843971,4.48,-6680.0,13335.0,-1.65506,0.968992,0.05,-77.156,-2.1351,25.973,-9.5261,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,5.4527
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G25.txt,G25,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,2000,13340,0.181618,9.15857,454.47297153899996,1.0,1.0,0.0592309,3.16,-6688.0,13339.0,-0.832478,0.929965,0.05,-132.819,-2.90711,49.6227,-9.38951,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,9.15857
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G26.txt,G26,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,2000,13328,0.195881,9.53308,425.793111584,1.0,1.0,0.0664332,3.65,-6662.0,13326.0,-0.987668,0.751442,0.05,-120.81,-1.77575,44.6648,-5.33379,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,9.53308
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G35.txt,G35,GsetUnweighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,2000,7687,1.63115,99.3457,4144.702604,0.7725,0.6725,0.223271,11.45,-3572.0,7675.0,0.108042,0.689428,0.05,-44.0096,-21.1125,41.72,-5.75872,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,99.3457
