filename,problem,problem_set,implementation,optimizer,nonlinearity,update_type,scan_type,N,best_known_cut,TTS_CPU,TTS_Euler,TTS_Euler_eta_corrected,SR_tr,SR,T_a_CPU,T_a_Euler,E_min,E_min_original,best_alpha,best_beta,best_theta,best_beta1,best_beta2,best_eta,best_gamma,best_dt,best_alpha_CAC,best_a_CAC,best_delta_CAC,best_rho_CAC,best_ksi_CAC,best_Gamma_CAC,best_n_x_CAC,best_n_e_CAC,best_DT_CAC,best_value
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_60_0.txt,g05_60_0,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,60,536.0,0.00103127,1.90657,2.78091,1.0,0.0,0.000131131,0.22,-187.0,536.0,-0.00193234,0.997031,0.05,-72.5823,-11.271,13.6322,-7.25847,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,1.90657
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_60_1.txt,g05_60_1,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,60,532.0,0.00158987,2.88227,4.59357,1.0,0.0,9.929e-05,0.2,-179.0,532.0,0.798141,0.201553,0.05,-78.3038,-45.9144,31.6512,-5.35715,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,2.88227
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_60_2.txt,g05_60_2,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,60,529.0,0.00664044,12.8896,24.876365976,1.0,0.0,0.000140183,0.255,-173.0,529.0,0.808176,0.0423757,0.05,-110.447,-16.5281,126.379,-2.39064,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,12.8896
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_60_3.txt,g05_60_3,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,60,538.0,0.0023182,4.02314,8.16944,1.0,0.0,0.000138473,0.243333,-191.0,538.0,-1.29978,0.959419,0.05,-83.7792,-5.44727,7.67723,-9.99828,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,4.02314
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_60_4.txt,g05_60_4,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,60,527.0,0.00161792,2.94381,9.92521,1.0,0.0,0.00018097,0.29,-169.0,527.0,0.403716,0.265178,0.05,-68.188,-4.88082,15.1623,-4.29774,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,2.94381
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_60_5.txt,g05_60_5,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,60,533.0,0.00142128,2.56307,31.5423,1.0,0.0,0.000130621,0.24,-181.0,533.0,0.999316,0.237358,0.05,-87.2216,-51.42,34.1672,-9.62489,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,2.56307
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_60_6.txt,g05_60_6,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,60,531.0,0.00373495,5.8927,141.44778153,1.0,0.0,0.000151971,0.25,-177.0,531.0,0.0741661,1.28164,0.05,-118.488,-36.985,24.0039,-9.1149,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,5.8927
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_60_7.txt,g05_60_7,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,60,535.0,0.00149564,2.69772,5.6431649651999995,1.0,0.0,0.000136055,0.24,-185.0,535.0,0.355411,1.06948,0.05,-118.245,-21.6257,20.8944,-7.42129,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,2.69772
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_60_8.txt,g05_60_8,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,60,530.0,0.0132974,24.2296,72.22443227999999,0.9375,0.0,0.000150051,0.26,-175.0,530.0,-1.71961,0.983085,0.05,-199.999,-3.24604,5.37348,-9.94775,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,24.2296
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_60_9.txt,g05_60_9,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,60,533.0,0.00154323,2.45884,9.2993824516,1.0,0.0,0.000107161,0.2,-181.0,533.0,-0.479459,1.2774,0.05,-115.235,-31.6496,13.9946,-5.47022,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,2.45884
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_80_0.txt,g05_80_0,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,80,929.0,0.00257938,3.23035,4.1232059435999995,1.0,0.0,0.000182881,0.23,-278.0,929.0,-1.24777,0.895905,0.05,-71.9094,-0.30558,8.92766,-4.1199,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,3.23035
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_80_1.txt,g05_80_1,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,80,941.0,0.000606494,0.82615,1.0682,1.0,0.0,0.000161111,0.2,-302.0,941.0,0.704549,0.0380038,0.05,-199.594,-11.3571,6.99613,-9.9063,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,0.82615
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_80_2.txt,g05_80_2,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,80,934.0,0.00250985,2.7621,4.050390918100001,1.0,0.0,0.000410842,0.5,-288.0,934.0,-0.469947,1.00063,0.05,-114.3,-5.78641,11.4361,-6.74037,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,2.7621
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_80_3.txt,g05_80_3,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,80,923.0,0.138774,169.193,239.37541523999997,0.2075,0.0,0.000282614,0.35,-266.0,923.0,-1.85268,0.965502,0.05,-69.7089,-70.1542,2.80949,-10.0,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,169.193
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_80_4.txt,g05_80_4,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,80,932.0,0.00224977,2.73627,3.8689936740000004,1.0,0.0,0.000222301,0.27,-284.0,932.0,-1.59047,0.9998,0.05,-72.5743,-8.9793,9.76844,-9.31329,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,2.73627
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_80_5.txt,g05_80_5,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,80,926.0,0.00966868,12.4885,106.908,1.0,0.0,0.000425503,0.54,-272.0,926.0,0.999844,0.264616,0.05,-200.0,-36.6124,34.436,-9.97651,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,12.4885
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_80_6.txt,g05_80_6,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,80,929.0,0.00285711,3.23855,7.357203849599999,1.0,0.0,0.000259384,0.33,-278.0,929.0,-0.612485,1.15108,0.05,-122.453,-26.9261,19.4466,-7.09148,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,3.23855
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_80_7.txt,g05_80_7,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,80,929.0,0.0031331,3.85348,5.5985,1.0,0.0,0.000293753,0.34,-278.0,929.0,-0.15298,1.0604,0.05,-74.8492,-13.8201,20.7799,-7.54762,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,3.85348
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_80_8.txt,g05_80_8,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,80,925.0,0.00371542,4.58159,24.3419,1.0,0.0,0.000281243,0.33,-270.0,925.0,-1.24662,1.0,0.05,-49.2303,-2.43168,10.929,-9.90827,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,4.58159
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_80_9.txt,g05_80_9,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,80,923.0,0.00423897,5.25985,39.37128907,1.0,0.0,0.00023218,0.28,-266.0,923.0,0.681516,0.404277,0.05,-49.1205,-26.7897,20.2276,-4.88546,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,5.25985
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_100_0.txt,g05_100_0,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,100,1430.0,0.00538105,4.89429,16.050529775,1.0,0.0,0.000467387,0.415,-385.0,1430.0,-1.1123,0.698198,0.05,-133.146,-55.6209,14.224,-8.01396,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,4.89429
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_100_1.txt,g05_100_1,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,100,1425.0,0.00807746,7.42793,40.921587263,1.0,0.0,0.000823463,0.725,-375.0,1425.0,0.514173,0.219091,0.05,-75.9109,-54.0506,44.3731,-5.39571,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,7.42793
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_100_2.txt,g05_100_2,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,100,1432.0,0.00448071,4.03311,10.5906,1.0,0.0,0.000458599,0.41,-389.0,1432.0,-1.99901,0.930897,0.05,-127.244,0.100506,16.3039,-3.43339,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,4.03311
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_g05_100_3.txt,g05_100_3,g05,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,100,1424.0,0.319736,302.375,537.51220116,0.395,0.0,0.000796167,0.71,-373.0,1424.0,-1.99933,0.744327,0.05,-200.0,0.602025,108.815,-10.0,-2.0,3.8,3.5,10,8,0.004,0.004,10,10,400,302.375
