filename,problem,problem_set,implementation,optimizer,nonlinearity,update_type,scan_type,N,best_known_cut,TTS_CPU,TTS_Euler,TTS_Euler_eta_corrected,SR_tr,SR,T_a_CPU,T_a_Euler,E_min,E_min_original,best_alpha,best_beta,best_theta,best_beta1,best_beta2,best_eta,best_gamma,best_dt,best_alpha_CAC,best_a_CAC,best_delta_CAC,best_rho_CAC,best_ksi_CAC,best_Gamma_CAC,best_n_x_CAC,best_n_e_CAC,best_DT_CAC,best_value
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G6.txt,G6,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,2178,3.69215,236.614,6827.6612669999995,0.84,0.4975,0.0344856,2.12,-4202.0,2178.0,-0.184056,1.0,0.05,-199.979,-72.0317,171.603,-4.78879,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,236.614
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G7.txt,G7,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,2006,12.3774,775.666,3542.450877,0.37,0.155,0.0264393,1.89,-4162.0,2006.0,-0.625072,1.00022,0.05,-199.796,-0.169497,156.973,-0.371763,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,775.666
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G8.txt,G8,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,2005,8.55425,555.432,29604.702971999995,0.43,0.2375,0.050767,3.515,-4180.0,2005.0,1.00148,1.24998,0.05,-199.934,-69.6476,199.98,-9.9028,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,555.432
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G9.txt,G9,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,2054,6.69958,418.786,23366.203454999995,0.4775,0.3175,0.0400848,2.83,-4172.0,2054.0,-0.436634,1.60304,0.05,-199.981,-70.1041,199.995,-9.99878,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,418.786
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G10.txt,G10,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,2000,5.86065,414.938,11521.348636,0.4475,0.3025,0.0318601,2.09,-4160.0,2000.0,1.00009,1.88416,0.05,-199.982,-68.7409,173.735,-5.07843,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,414.938
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G11.txt,G11,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,564,6.02095,995.079,199015.8,0.2925,0.04,0.0552861,8.59,-1094.0,564.0,1e-09,1.0,0.05,-200.0,-1.66329,200.0,-10.0,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,995.079
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G12.txt,G12,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,556,1.47304,243.151,5566.8461400999995,0.8025,0.515,0.0176153,2.95,-1116.0,556.0,0.000510275,0.999117,0.05,-199.635,-1.5156,161.927,-9.93795,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,243.151
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G13.txt,G13,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,582,4.0983,672.377,7167.63,0.3325,0.2775,0.0191802,3.105,-1130.0,582.0,0.0127506,2.0,0.05,-200.0,-1.48907,200.0,-10.0,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,672.377
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G18.txt,G18,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,992,20.5574,2673.79,358657.248516,0.105,0.075,0.0273443,3.57,-1920.0,992.0,-0.000110666,1.39716,0.05,-199.704,-82.8123,200.0,-6.26166,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,2673.79
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G19.txt,G19,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,906,6.91921,887.708,152925.74748000002,0.23,0.1775,0.0218223,2.84,-1925.0,906.0,5.95999e-05,1.99999,0.05,-199.987,-70.6769,200.0,-1.46591,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,887.708
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G20.txt,G20,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,941,3.84198,497.462,46210.511292,0.4225,0.305,0.0234382,2.61,-1928.0,941.0,1.27011,1.67491,0.05,-199.977,-73.8232,200.0,-9.99864,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,497.462
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G21.txt,G21,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,800,931,10.8449,1420.61,191556.47301,0.1725,0.0925,0.0301222,3.38,-1929.0,931.0,-0.000763324,0.929459,0.05,-127.892,-10.0929,134.841,-0.0371795,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,1420.61
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G27.txt,G27,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,2000,3341,54.8997,2305.88,443177.94612000004,0.19,0.07,0.576124,21.43,-6724.0,3341.0,6.99657e-05,1.0,0.05,-200.0,-83.9385,199.991,-2.91069,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,2305.88
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G28.txt,G28,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,2000,3298,30.5643,1265.54,253099.14122,0.31,0.1475,0.420574,17.68,-6700.0,3298.0,8.68914e-05,1.0,0.05,-200.0,-83.9045,199.993,-2.90683,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,1265.54
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G29.txt,G29,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,2000,3405,131.953,5064.52,1012898.9354800001,0.09,0.0325,0.309562,12.97,-6730.0,3405.0,-0.324493,1.0,0.05,-199.983,-85.2987,199.999,-4.67322,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,5064.52
BayesianOptimization_Physical_FirstOrderAdam_Sigmoid_Parallel_CACdisabled_G30.txt,G30,GsetWeighted,Physical,FirstOrderAdam,Sigmoid,Parallel,BayesianOptimization,2000,3413,24.9835,1045.27,197095.1966,0.335,0.1575,0.31444,13.23,-6726.0,3413.0,-0.472971,2.0,0.05,-199.981,-83.9987,199.998,-4.93949,-2.0,3.8,3.5,10.0,8.0,0.004,0.004,10.0,10.0,400.0,1045.27
